Sinhala,English
"සඳුදා දින, ස්ටැන්ෆර්ඩ් සරසවි වෛද්‍ය පාසලේ විද්‍යාඥයෝ, සෛලයක ආකාරය අනුව එය වර්ග කළ හැකි නව දෝෂ නිර්ණය කිරීමේ මෙවලමක්: එනම්, එකක් ඇමරිකානු ඩොලර් ශතයක පමණ මුදලකින් නිෂ්පාදනය කළ හැකි සාමාන්‍ය ඉන්ක්ජෙට් මුද්‍රණ යන්ත්‍රයකින් මුද්‍රණය කළ හැකි ඉතා කුඩා චිපයක් සොයාගත් බවට නිවේදනය කළහ.
","On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.
"
"ප්‍රධාන පෙළේ පර්යේෂකයන් පවසන පරිදි මෙමගින්, පියයුරු පිළිකා වැනි රෝග තත්ත්වයන්හිදී  ධනවත් රටවලට වඩා ජීවත් වීමේ සම්භාවිතාව අර්ධයකින් පමණ අඩු වන, අඩු ආදායම්ලාභී රටවල රෝගීන්ගේ පිළිකාව, ක්ෂය රෝගය, එච්.අයි.වී සහ මැලේරියාව වැනි ලෙඩ රෝග කළින් හඳුනා ගැනීමට හැකියාව ඇති කරනු ඇත.
","Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.
"
"JAS 39C ග්‍රිපන් යානය දේශීය වේලාවෙන් පෙ.ව.9:30 ට පමණ (0230 UTC) ගුවන් යානා ධාවන පථයට කඩා වැටී පිපිරී ගිය අතර, ගුවන් තොටුපොළ වාණිජ ගුවන් යානා සඳහා වසා දමන ලදී.
","The JAS 39C Gripen crashed onto a runway at around 9:30 am local time (0230 UTC) and exploded, closing the airport to commercial flights.
"
"බලඝන නායක ඩිලෝක්‍රිට් පටවී ගුවන් නියමුවා බව හඳුනාගෙන ඇත.
","The pilot was identified as Squadron Leader Dilokrit Pattavee.
"
"දේශීය මාධ්‍ය වාර්තා කළඒ සම්බන්ධව කටයුතු කරත් දී අතර ගුවන් තොටුපොළ ගිනි නිවන වාහනය පෙරළී ගිය බවයි.
","Local media reports an airport fire vehicle rolled over while responding.
"
"28 හැවිරිදි විඩාල්, වාර තුනකට පෙර සෙවිලා වෙතින් බර්කා හා එක් විය.
","28-year-old Vidal had joined Barça three seasons ago, from Sevilla.
"
"කැටලන් නගරයට පැමිණි දින සිට විඩල් ක්‍රීඩා සමාජය සඳහා තරග 49 ක ක්‍රීඩා කර ඇත.
","Since moving to the Catalan-capital, Vidal had played 49 games for the club.
"
"දේශීය වේලාවෙන් 11:00 ට (UTC+1) පමණ, අගමැතිගේ නිල නිවස පිහිටි ඩවුනින් වීදියට වන පොලිස් ආරක්ෂාව සහිත පිවිසුමට ප්‍රතිවිරුද්ධ පැත්තේ වයිට් හෝල් හිදී උද්ඝෝෂණය ආරම්භ විය.
","The protest started around 11:00 local time (UTC+1) on Whitehall opposite the police-guarded entrance to Downing Street, the Prime Minister's official residence.
"
"හුදෙක් 11:00 ට පසු, විරෝධතා දැක්වූවන් වයිට්හෝල් හි උතුරට ගිය වාහනවල ගමනාගමනට බාධා කළෝ ය.
","Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.
"
"රථවාහන තදබදය සමඟ විරෝධතා දැක්වීමේ අයිතිය සමතුලිත කිරීමට අවශ්‍ය බව පවසමින්.11: 20 ට පොලිසිය විරෝධතාකරුවන්ගෙන් ඉල්ලා සිටියේ පදික වේදිකාවට ආපසු යන ලෙසයි.
","At 11:20, the police asked the protesters to move back on to the pavement, stating that they needed to balance the right to protest with the traffic building up.
"
