high_res,low_res
trash,basura
flyer,volante
stimulant,estimulante
cloven,rajado
cauterize,cauterizar
coppersmith,calderero
spoon,cuchara
discern,discernir
bulimic,bulímico
voting,votando
this,esto
estival,estival
nomadic,nómada
theoretic,teórico
jolt,traquetear
extradite,extraditar
acceptable,aceptable
retroactive,retroactivo
linguistic,lingüístico
tush,trasero
bilingual,bilingüe
withdraw,sacar
sterile,estéril
lavender,lavanda
yoke,uncir
arouse,despertar
Spanish,español
confront,enfrentar
beau,novio
acknowledgment,reconocimiento
naturalness,naturalidad
expropriate,expropiar
identifiable,identificable
comptroller,controlador
informally,informalmente
sort,ordenar
impulsive,impulsivo
celebrated,celebrado
thunderstruck,estupefacto
froth,espumar
introspective,introspectivo
carve,trinchar
accompany,acompañar
musk,almizcle
cognizant,consciente
behave,comportarse
dendritic,dendrítico
prognosticate,pronosticar
offload,librarse
genealogical,genealógico
meringue,merengue
situate,situar
crown,coronar
anorexic,anoréxico
odd,impar
correlation,correlación
Benin,Benín
massive,masivo
intensify,intensificar
baleful,funesto
echelon,escalón
chairperson,presidente
guarantee,garantizar
enjoy,disfrutar
imperialist,imperialista
vitalist,vitalista
open-ended,abierto
exemplary,ejemplar
Wikipedian,wikipedista
ideally,idealmente
undermine,socavar
aerodynamical,aerodinámico
grill,asar
delinquent,delincuente
Navarrese,navarro
punch,perforar
coat,cubrir
madder,rubia
next,próximo
complimentary,lisonjero
hydrodynamic,hidrodinámico
amorous,enamorado
Czech,checo
obstetric,obstétrico
mischievous,travieso
serious,serio
asthmatic,asmático
polysyllabic,polisílabo
plan,planear
fetter,engrilletar
Oedipal,edípico
Mazandaran,Mazandarán
retreat,retiro
arrogate,arrogarse
apocryphal,apócrifo
ophthalmological,oftalmológico
sinkhole,cenote
Cantonese,cantonés
coordination,coordinación
quotidianly,cotidianamente
reticent,reticente
shutdown,apagado
despise,desdeñar
rotoscope,thaumatropio
impoundment,inmovilización
suggest,sugerir
backtrack,repasar
honour,honrar
statistically,estadísticamente
cynical,cínico
gullible,crédulo
roar,bramar
suffering,sufrido
Ghanaian,ghanés
wicked,malvado
glossolalia,glosolalia
editorialize,editorializar
stand,soportar
centripetal,centrípeto
prioritize,prioritizar
vanquish,vencer
disparage,desacreditar
integrable,integrable
placate,aplacar
Germanism,germanismo
methamphetamine,metanfetamina
animalize,animalizar
milk,ordeñar
gargle,gargarizar
linear,lineal
adherent,adherente
genitive,genitivo
striped,rayado
astride,montado
buzz,zurriar
growl,gruñir
disallow,prohibir
grind,rutina
sterilizable,esterilizable
hassle,provocar
serious,serio
Hedwig,Eduvigis
biochemical,bioquímico
Tokelauan,tokelaués
inquisitive,inquisitivo
drum,tamborear
Machiavellian,maquiavélico
abortifacient,abortivo
phlegmatic,flemático
incompatible,incompatible
it's,es
correspond,corresponder
tough,severo
transfer,transferir
go,hacer
Jacob,Jacob
societism,societismo
static,estática
paradigm,paradigma
acidify,acidificar
adamant,adamantino
Mr,Sr
quarter,cuartear
cognoscente,experto
spank,nalguear
dash,salpicar
byname,apellido
return,devolver
agnostic,agnóstico
Orion,Orión
magnetic,magnético
Latvian,letón
digital,digital
masochist,masoquista
run,correr
oral,oral
exuberance,exuberancia
frighten,atemorizar
quaver,temblor
unleash,destraillar
awry,torcido
light,luminoso
respectively,respectivamente
reassure,tranquilizar
pallet,paleta
ebony,ébano
barely,apenas
unquestioningly,incondicionalmente
torpedo,torpedear
admission,admisión
uncover,destapar
completely,completamente
spyglass,catalejo
Sarah,Sara
treat,tratar
antecedent,antecedente
ballast,lastrar
Elginism,elginismo
reopen,reabrirse
twenty-four,veinticuatro
hardcore,intensísimo
efficiently,eficientemente
drinkable,potable
German,alemán
disappointed,decepcionado
openable,abertible
bollocks,chingados
acoustical,acústico
countable,numerable
invincible,invencible
chipolata,chipolata
humanly,humanamente
siliceous,silíceo
engraving,grabado
prepubescent,preadolescente
tattoo,tatuar
pass,pasar
backwards,invertido
Dorothy,Dorotea
Catholicize,catolizar
interest,interesar
ethnomusicology,etnomusicologia
cordially,cordialmente
dichotomy,dicotomía
collapse,colapsar
summarize,resumir
Lesbos,Lesbos
stubbornness,testarudez
stiffness,tiesura
thin,fino
fireproof,ignífugo
authoritative,autoritario
lich,liche
imaginary,imaginario
un-,in-
facial,facial
corpulent,obeso
they,se
slice,rebanar
push,empujar
drown,ahogar
pharmaceutically,farmacéuticamente
Auriga,Auriga
anti-Semitic,antisemita
pow,zas
correctly,correctamente
as,como
join,juntar
electronic,electrónico
Manitoba,Manitoba
weed,escardar
intervene,intervenir
lastborn,ultimogénito
ornamental,ornamental
slight,insignificante
carcass,cadáver
Florence,Florencia
reciprocally,recíprocamente
uphold,elevar
goal,meta
subjugate,sojuzgar
donate,donar
intangible,intangible
precession,precesión
neuter,neutro
familiarize,familiarizar
