low_res,high_res
"බොහෝ දේවාල වල උත්සව පවත්වනු ලබන්නේ එහි වර්ෂ පූර්ණය හෝ එයට අරක්ගත් දේවතාවාගේ උපන් දිනය හෝ දේවස්ථානයේ වෙනත් විශේෂ සිදුවීම් මූලික කොට ගෙන ය.
","Most of the temple festivals is celebrated as part of temple's anniversary or presiding deity's birthday or any other major event associated with the temple.
"
"තුර්කියේ භූමි ප්‍රමාණය එය ලොව 37 වැනියට විශාලතම රට බවට පත් කරන අතර එය ප්‍රංශ මහ නගරය සහ එක්සත් රාජධානිය එක්ව ගත් කල වන ප්‍රමාණය හා සමාන වේ.
","Turkey's area makes it the world's 37th-largest country, and is about the size of Metropolitan France and the United Kingdom combined.
"
"චැතැම් දූපත්වල ද නවසීලන්තයෙන් ඉවතට සංක්‍රමණය වූ මාඕරිවරුන්ගෙන් සැදුම්ලත් වෙනත් ගෝත්‍රයක් සිටියහ.
","There was also another tribe on the Chatham islands these were Maori who migrated away from New Zealand.
"
"මූස් සත්තු (එල්ක් ලෙසද හැඳින්වෙන) සාමාන්‍යයෙන් කලහකාරී නොවන නමුත්, තර්ජනයක් දුටුවිට තමන්ව ආරක්ෂා කර ගනිති.
","Moose (also known as elk) aren't inherently aggressive, but will defend themselves if they perceive a threat.
"
"අවසර පත්‍ර කලින්ම වෙන්කර ගත යුතුය. සිරීනා හි රැය ගතකිරීම සඳහා ඔබට අවසර පතක් තිබිය යුතුය.
","Permits must be reserved in advance. You must have a permit to stay overnight at Sirena.
"
"පෘථිවියේ විශාලතම රෝමානු කතෝලික රට බ්‍රසීලය වන අතර, රෝමානු කතෝලික සභාව එම රට තුළ සම ලිංගික විවාහ කිරීම සඳහා දිගටම විරුද්ධ වී ඇත.
","Brazil is the largest Roman Catholic country on Earth, and the Roman Catholic Church has consistently opposed the legalization of same-sex marriage in the country.
"
"රාත්‍රියකට වඩා අඩු REM ප්‍රමාණ සමගින් ඔබ සත්‍ය නින්ද අත්දකින සහ ඔබගේ ශරීරය ප්‍රකෘතියට පත්වන මෙම තත්ත්වය ගැටළුවක් වීමට තරම් නිතරම සිදු නොවේ.
","With fewer REMs per night, this state in which you experience actual sleep and your body recovers becomes infrequent enough to become a problem.
"
"මගීන් 8 සිට 100 දක්වා ප්‍රමාණ ගමන් කරන කෘස් නෞකා 60 කට වැඩි ප්‍රමණයක් ගැලපගොස් හරහා ගමන් කරයි.
","Over 60 cruise ships ply the Galapagos waters - ranging in size from 8 to 100 passengers.
"
"සමස්තයක් ලෙස, බෙල්ජියමේ සහ ස්විට්සර්ලන්තයේ කතා කෙරෙන ප්‍රංශ භාෂාවේ අංකන ක්‍රමය ප්‍රංශයේ කතා කෙරෙන ප්‍රංශ භාෂාවේ ඒවාට වඩා මදක් අසාමාන්‍යතාවන් ඇති අතර ඇතැම් වචන උච්ඡාරණය තරමක් වෙනස්වේ.
","In particular, the numbering system in French-speaking Belgium and Switzerland has some slight peculiarities that are different from the French spoken in France, and the pronunciation of some words is slightly different.
"
"කැඩෙන අයිස්වලට අමතරව, දැඩි කාලගුණ තත්ත්වයන් ද බේරා ගැනීමේ ප්‍රයත්නවලට බාධා වී ඇත.
","In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.
"
"ගහනයක් යනු, යම් නිශ්චිත භූගෝලීය ප්‍රදේශයක් තුළ සිටින, යම් නිශ්චිත විශේෂයක ජීවින් කොටසකගේ එකතුවයි.
","A population is the collection of organisms of a particular species within a given geographic area.
"
"ඇළ දිස්ත්‍රික්කය (ලන්දේසි බසින්: ග්‍රැචෙන්ගෝර්ඩෙල්) යනු  ඇම්ස්ටර්ඩෑම් හි බිනන්ස්ටැඩ් වටකර ඇති, 17 වන සියවසේ සුප්‍රසිද්ධ දිස්ත්‍රික්කයි.
","The Canal District (Dutch: Grachtengordel) is the famous 17th-century district surrounding the Binnenstad of Amsterdam.
"
"පැය 2ක කතාවේ දී ඔහු කියා සිටියේ ""අද ඇපල් විසින් දුරකථනය නැවත සොයාගැනීමටයි සූදානම් වන්නේ, අපි අද ඉතිහාසක් නිර්මාණය කිරීමටයි යන්නේ"" යනුවෙනි.
","During his 2 hour speech he stated that ""Today Apple is going to reinvent the phone, We are going to make history today"".
"
"ජීවියාගේ ලිංගික අවශ්‍යතා මත පදනම්ව සංකීර්ණ පරාසයක් තුළ  පවතින ඇස්වල විවිධ ආකාර තිබේ.
","There are many different constructions of eyes, ranging in complexity depending on the requirements of the organism.
"
