high_res,low_res
complain,quejarse
enthrone,entronizar
regale,regalar
promiscuous,promiscuo
withdraw,retirar
Aristotelian,aristotélico
reciprocally,recíprocamente
then,entonces
alphabetically,alfabéticamente
accentuate,acentuar
Heathen,pagano
fix,amañar
faint,tenue
rabbinical,rabínico
explicitly,explícitamente
stir-fry,sofreír
impede,impedir
steward,mozo
candlepower,candela
finale,final
join,juntar
pant,jadear
Philomena,Filomena
exorcism,exorcismo
slutty,putilla
Arnold,Arnaldo
negligent,negligente
define,definir
toward,hacia
intelligently,inteligentemente
Ruritanian,quimérico
calliope,calíope
suffer,sufrir
photovoltaic,fotovoltaico
accountably,responsablemente
batter,apalear
tarry,demorar
green,verde
Ingram,Enguerrán
protist,protista
surgically,quirúrgicamente
snatch,raptar
laminar,laminar
plank,artículo
constitutionalism,constitucionalismo
Xavier,Javier
piebald,moteado
Aegidius,Egidio
rack,estante
store,almacenar
understandable,entendible
saline,salino
slob,vago
untoward,problemático
ambiguous,ambiguo
bad,malo
colonise,colonizar
spurn,desdeñar
contain,contener
thrifty,ahorrador
profit,beneficiarse
fortnightly,bisemanalmente
local,local
greet,saludar
imperfect,imperfecto
fortunately,afortunadamente
Byblos,Biblos
desand,desarenar
whitewash,encubrir
throttle,estrangular
ultranationalism,ultranacionalismo
Nazi,nazi
mob,turba
jump,saltar
wave,ondular
AM,AM
contrite,contrito
spectacular,espectacular
local,local
sublimate,sublimar
elevate,subir
tweak,retoque
obfuscate,ofuscar
contingency,contingencia
ovoviviparous,ovovivíparo
nigh,cercano
pulsate,latir
wail,gemir
fake,falsear
outgoing,saliente
promulgate,promulgar
decline,rechazar
out,lejos
phonetic,fonético
Aida,Aída
patriotic,patriótico
amphibious,anfibio
possible,posible
Flanders,Flandes
cultivate,cultivar
cramp,inmovilizar
grave,grabar
stir,revolver
after,después
debut,debutar
consolidate,consolidar
purpose,proponerse
feminine,femenino
bogeyman,coco
gracefully,agraciadamente
mugger,chorizo
aspirate,aspirada
inexplicable,inexplicable
organizational,organizacional
hold,mantener
expressway,autopista
Serpens,Serpens
Spanish,español
sagacious,sagaz
not,no
look,esperar
be,hacer
complement,complementar
sob,sollozar
Hyacinth,Jacinta
perpetuate,perpetuar
brusquely,bruscamente
marshal,formar
rebuild,reconstruir
loose,suelto
tend,tender
nominate,postular
stiffness,tiesura
kindly,bondadosamente
able,competente
staple,grapar
declare,declarar
it's,es
prolonged,prolongado
ulcerate,ulcerar
trustworthy,fidedigno
macroeconomics,macroeconomía
relative,relativo
negotiable,negociable
octahedral,octaédrico
Belorussian,bielorruso
contrast,contrastar
little,poco
inviolable,inviolable
Algerian,argelino
antic,grotesco
dine,cenar
colloquially,coloquialmente
else,sino
monetarist,monetarista
bat,batear
hydraulic,hidráulico
hiss,sisear
hallowed,santificado
Spartan,espartano
introduce,introducir
idol,ídolo
precise,preciso
Deneb,Deneb
transcendental,trascendental
Changchun,Changchun
head,cabecear
solemn,solemne
mossy,musgoso
vulgarism,vulgaridad
accomplice,cómplice
overwinter,invernar
flattened,achatado
tropics,trópicos
entelechy,entelequia
estival,estival
bleed,purgar
bombastic,bombástico
antitrust,antimonopolista
artificially,artificialmente
minute,menudo
brackish,salado
sleek,liso
unfaithful,infiel
unstoppable,imparable
musk,almizcle
incorrigible,incorregible
dieldrin,dieldrín
Abyssinian,abisinio
sanitize,sanear
repetitive,repetitivo
observable,observable
Titania,Titania
raisin,pasa
subservient,servil
fence,cercar
thick,espeso
prolific,prolífico
acute,grave
solicit,solicitar
patine,patinar
preantepenultimate,trasantepenúltimo
meh,bah
castanets,castañuelas
radium,radio
puerperal,puerperal
exacerbation,exacerbación
Daniel,Daniel
leach,lixiviar
Kali,Kali
Felix,Félix
fewer,menos
complacency,suficiencia
Como,Como
deicide,deicidio
asymptomatic,asintomático
text,texto
lamentable,lamentable
coldly,fríamente
inventive,inventivo
delinquent,moroso
following,próximo
comitology,comitología
Vishnu,Vishnú
Aboriginal,aborigen
cement,cementar
alertness,vigilancia
